age,gender,minority,native_english,lower_division,attractive,eval,high_eval
42,0,0,1,0,0,4.4,1
42,0,0,1,0,0,4.9,1
42,0,0,1,0,0,4.7,1
42,0,0,1,0,0,4.6,1
35,0,0,1,1,1,4.8,1
35,0,0,1,0,1,4.2,1
35,0,0,1,1,1,4.6,1
39,1,0,1,0,1,4.7,1
39,1,0,1,0,1,4.6,1
39,1,0,1,1,1,3.6,1
49,0,0,1,0,1,3.9,1
49,0,0,1,0,1,4.0,1
61,0,0,1,0,1,4.4,1
61,0,0,1,1,1,4.5,1
61,0,0,1,0,1,4.4,1
33,0,0,1,0,1,3.0,0
33,0,0,1,0,1,3.7,1
56,1,0,1,0,0,3.6,1
56,1,0,1,0,0,3.1,0
50,1,0,1,1,0,3.8,1
50,1,0,1,1,0,4.7,1
50,1,0,1,0,0,3.8,1
50,1,0,1,0,0,3.8,1
50,1,0,1,0,0,2.8,0
50,1,0,1,0,0,4.0,1
52,0,0,1,0,0,4.0,1
52,0,0,1,0,0,3.5,1
52,0,0,1,0,0,3.4,0
52,0,0,1,0,0,4.0,1
52,0,0,1,0,0,3.5,1
52,0,0,1,0,0,3.8,1
52,0,0,1,0,0,4.7,1
52,0,0,1,0,0,3.9,1
52,0,0,1,0,0,4.5,1
52,0,0,1,0,0,4.2,1
52,0,0,1,0,0,4.7,1
52,0,0,1,0,0,4.0,1
33,1,0,1,0,1,4.8,1
33,1,0,1,0,1,4.8,1
33,1,0,1,0,1,4.4,1
33,1,0,1,0,1,4.7,1
33,1,0,1,0,1,4.5,1
57,0,0,1,0,1,4.2,1
57,0,0,1,0,1,4.4,1
57,0,0,1,0,1,4.1,1
38,1,0,1,1,1,4.2,1
38,1,0,1,0,1,4.8,1
38,1,0,1,0,1,4.4,1
38,1,0,1,0,1,4.7,1
38,1,0,1,1,1,4.2,1
38,1,0,1,0,1,4.5,1
34,1,0,1,1,0,3.4,0
34,1,0,1,1,0,3.7,1
34,1,0,1,0,0,3.6,1
34,1,0,1,0,0,3.9,1
34,1,0,1,0,0,3.9,1
34,0,0,1,0,1,3.7,1
34,0,0,1,1,1,3.0,0
32,0,0,1,1,0,3.6,1
32,0,0,1,1,0,3.6,1
32,0,0,1,0,0,4.3,1
32,0,0,1,0,0,4.5,1
42,1,0,1,0,1,3.9,1
43,1,0,1,0,0,4.6,1
43,1,0,1,1,0,4.1,1
43,1,0,1,1,0,4.2,1
43,1,0,1,1,0,4.1,1
43,1,0,1,1,0,3.1,0
43,1,0,1,1,0,3.6,1
43,1,0,1,0,0,4.2,1
43,1,0,1,1,0,3.0,0
43,1,0,1,0,0,4.2,1
35,0,0,0,1,0,3.4,0
62,1,0,1,0,0,3.1,0
62,1,0,1,0,0,2.7,0
52,1,0,1,0,1,3.9,1
52,1,0,1,0,1,3.9,1
52,1,0,1,0,1,3.6,1
52,1,0,1,0,0,3.7,1
52,1,0,1,0,0,3.6,1
52,1,0,1,0,0,4.4,1
52,1,0,1,0,0,4.3,1
52,1,0,1,0,0,4.1,1
52,1,0,1,0,0,3.7,1
64,0,0,1,0,0,3.6,1
64,0,0,1,0,0,2.8,0
64,0,0,1,0,0,4.0,1
64,0,0,1,0,0,4.4,1
64,0,0,1,0,0,3.6,1
50,0,0,1,0,1,3.7,1
60,0,0,1,0,0,2.9,0
60,0,0,1,0,0,2.6,0
43,0,0,1,1,0,4.8,1
43,0,0,1,1,0,4.9,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.4,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.7,1
43,0,0,1,1,0,4.3,1
43,0,0,1,1,0,4.6,1
50,0,1,1,1,0,4.9,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.7,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.9,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,4.8,1
50,0,1,1,1,0,5.0,1
50,0,1,1,1,0,4.5,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,3.8,1
52,0,0,1,0,1,4.0,1
52,0,0,1,0,1,4.2,1
51,0,0,1,1,1,4.5,1
51,0,0,1,1,1,4.5,1
51,0,0,1,1,1,4.6,1
51,0,0,1,1,1,4.7,1
38,0,0,1,1,0,4.1,1
38,0,0,1,1,0,3.6,1
38,0,0,1,1,0,4.0,1
47,1,0,1,1,1,3.4,0
43,1,1,1,1,0,2.8,0
38,1,0,1,1,0,4.1,1
38,1,0,1,1,0,3.5,1
38,1,0,1,1,0,3.4,0
38,1,0,1,1,0,4.1,1
38,1,0,1,1,0,4.2,1
43,0,0,1,1,0,4.3,1
43,0,0,1,0,0,4.1,1
43,0,0,1,0,0,3.4,0
57,0,0,1,0,0,3.5,1
57,0,0,1,0,0,3.6,1
51,1,0,1,0,1,3.7,1
51,1,0,1,0,1,3.0,0
51,1,0,1,0,1,4.6,1
45,0,0,1,1,0,4.0,1
45,0,0,1,1,0,4.8,1
45,0,0,1,1,0,4.6,1
57,0,0,1,1,0,3.4,0
57,0,0,1,1,0,4.4,1
57,0,0,1,1,0,3.6,1
57,0,0,1,1,0,3.8,1
57,0,0,1,1,0,3.7,1
57,0,0,1,1,0,4.7,1
57,0,0,1,1,0,4.5,1
57,0,0,1,0,0,5.0,1
57,0,0,1,1,0,3.8,1
57,0,0,1,1,0,4.1,1
47,1,0,1,1,1,4.3,1
47,1,0,1,1,1,4.4,1
47,1,0,1,1,1,4.7,1
47,1,0,1,1,1,3.9,1
54,1,1,1,1,1,4.8,1
54,1,1,1,1,1,4.3,1
54,1,1,1,1,1,4.6,1
54,1,1,1,1,1,3.8,1
58,0,0,1,1,1,5.0,1
58,0,0,1,1,1,4.9,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,5.0,1
58,0,0,1,1,1,4.6,1
58,0,0,1,1,1,4.9,1
42,0,0,1,1,1,4.0,1
42,0,0,1,0,1,3.9,1
33,0,0,1,1,1,4.1,1
62,0,0,1,1,0,2.9,0
62,0,0,1,1,0,2.8,0
62,0,0,1,1,0,2.8,0
62,0,0,1,0,0,4.0,1
62,0,0,1,1,0,3.3,0
62,0,0,1,1,0,3.0,0
35,1,1,1,1,1,3.6,1
35,1,1,1,1,1,3.8,1
61,0,0,1,1,0,3.9,1
52,1,0,1,1,0,4.7,1
52,1,0,1,1,0,4.7,1
60,1,0,0,0,0,3.9,1
60,1,0,0,0,0,4.4,1
60,1,0,0,0,0,3.6,1
60,1,0,0,0,0,4.2,1
60,1,0,0,0,0,3.4,0
60,1,0,0,0,0,4.0,1
32,0,0,1,1,1,4.2,1
32,0,0,1,0,1,4.4,1
32,0,0,1,1,1,4.5,1
32,0,0,1,1,1,3.2,0
32,0,0,1,0,1,4.3,1
42,1,1,0,0,1,3.3,0
42,1,1,0,0,1,3.2,0
42,1,1,0,1,1,4.1,1
